COM_ACCOUNT#,,COM_COMPANYNAME,,,,COM_LOCKAR,COM_FINANCEDAYS,,AR_TOTAL,,AR_PAID,,Balance,,,L/U,,ML
"3,104.00",,HINKLEY DAIRY,,,,,40,"534,107.27",,,"516,447.80",,"17,659.47",,,,,
"3,149.00",,VERHOEVEN GRAIN CO.,,,,,30,"736,045.81",,,"708,341.62",,"27,704.19",,,,,
"3,315.00",,ALIMENTOS Y PRODUCTOS/CANOLA,,,,Y,30,"3,469,260.33",,,"3,469,260.33",,0.00,,,,Y,
"3,403.00",,RIO BLANCO DAIRY/CA,,,,,40,"63,036.83",,,"63,036.83",,0.00,,,,,
"3,596.00",,LUMAR DAIRY,,,,Y,30,"11,196.66",,,"11,196.66",,0.00,,,,Y,
"3,616.00",,FOSTER COMMODITIES,,,,,30,"5,277,468.41",,,"5,135,144.73",,"142,323.68",,,,,
"3,634.00",,HICKMAN EGG RANCH.,,,,,30,"306,916.62",,,"45,814.04",,"261,102.58",,,,,
"3,753.00",,J.G. BOSWELL,,,,Y,1,"11,400.00",,,"14,400.00",,"-3,000.00",,,,Y,
"3,827.00",,NORTHVIEW DAIRY,,,,,40,"741,555.05",,,"720,198.39",,"21,356.66",,,,,
"3,842.00",,P & M VANDERPOEL,,,,,45,"102,799.97",,,"101,920.91",,879.06,,,,,
"3,895.00",,CHARLES AHLEM RANCH,,,,,40,"171,988.87",,,"171,988.87",,0.00,,,,,
"3,931.00",,PRODUCERS BAR-20 DAIRY,,,,,40,"393,373.00",,,"393,373.00",,0.00,,,,,
"4,047.00",,FEDERAL CORRECTIONAL COMPLEX,,,,Y,30,"11,987.61",,,"11,987.61",,0.00,,,,Y,
"4,066.00",,LONE STAR COMMOD.,,,,Y,30,315.23,,,315.23,,0.00,,,,Y,
"4,092.00",,LEONARDO BROS.,,,,,40,"151,012.45",,,"137,892.37",,"13,120.08",,,,,
"4,197.00",,BILL IDSINGA DAIRY,,,,,40,"127,800.64",,,"137,564.37",,"-9,763.73",,,,,
"4,221.00",,WESTERN SKY DAIRY/CA,,,,,40,"523,804.72",,,"523,804.72",,0.00,,,,,
"4,248.00",,CAPSTONE RANCH,,,,,45,"597,246.16",,,"589,760.16",,"7,486.00",,,,,
"4,269.00",,"GREEN VALLEY DAIRY, LLC",,,,,45,"49,312.69",,,"49,312.69",,0.00,,,,,
"4,311.00",,MT. WHITNEY DAIRY,,,,,45,"597,997.53",,,"568,509.65",,"29,487.88",,,,,
"4,396.00",,"AGRIBRANDS PURINA MEXICO, S.A.",,,,,30,"218,000.41",,,"218,000.41",,0.00,,,,,
"4,403.00",,RIVERBED DAIRY,,,,,40,"31,206.86",,,"30,225.56",,981.30,,,,,
"4,422.00",,WASTE MANAGEMENT,,,,,30,"1,840.80",,,"1,840.80",,0.00,,,,,
"4,434.00",,MAPLE DAIRY,,,,Y,40,"1,793,265.95",,,"1,754,944.41",,"38,321.54",,,,Y,
"4,461.00",,PETE VANDERPOEL DAIRY,,,,,40,"27,243.80",,,"27,243.80",,0.00,,,,,
